Chemicals	RxnID	Description	Reaction	Gene	Protein	Enzyme	Kcat (1/s)	MW (KDa)	s.a.(µmol/min/mg)	Similar species	_ (h-1)	product yield in vivo	in silico	Medium	OE	deletion	Ref
	8	dihydroflavonol-4-reductase	s_4257 + s_1212 + s_0794 + 1.00625e-05 prot_B9GRL5 -> s_4258 + s_1207	DFR (Populus trichocarpa)	B9GRL5	1.1.1.219	27.60528667	38.699	42.8	Camellia sinensis							
	9	leucoanthocyanidin reductase	s_4258 + s_1212 + s_0794 + 0.0042735 prot_Q4W2K4 -> s_4259 + s_1207 + s_0803	LAR (Vitis vinifera)	Q4W2K4	1.17.1.3	0.065	38.019									
	10	draw_prot_P45724	77.86 prot_pool  -> prot_P45724														
	11	draw_prot_Q84TQ4	57.937 prot_pool  -> prot_Q84TQ4														
	12	draw_prot_P28012Ê	23.826 prot_pool  -> prot_P28012Ê														
	13	draw_prot_Q9FUB7	42.713 prot_pool  -> prot_Q9FUB7														
	14	draw_prot_Q9S725	60.842 prot_pool  -> prot_Q9S725														
	15	draw_prot_Q9SBQ9	56.936 prot_pool  -> prot_Q9SBQ9														
	16	draw_prot_Q06942	40.771 prot_pool  -> prot_Q06942														
	17	draw_prot_B9GRL5	38.699 prot_pool  -> prot_B9GRL5														
	18	draw_prot_Q4W2K4	38.019 prot_pool  -> prot_Q4W2K4														
	19	catechin transport	s_4259 -> s_4260														
	20	catechin exchange	s_4260 ->														
																	
Amorphadiene	1	amorphadiene synthase	s_0190 + 0.000536251 pro_Q9AR04 -> s_4261 + s_0633	ADS (Artemisia annua)	Q9AR04	4.2.3.24	0.518	63.933			0.1	0.0323 Cmol	0.17 Cmol	Min		"GAL1,7,10"	"Production of amorphadiene in yeast, and its
conversion to dihydroartemisinic acid, precursor
to the antimalarial agent artemisinin
"
	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558 + 3.0013e-06 prot_P12684  -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.5526 (Kcat*2)	115.691							HMG1		
	r_0904No1	phosphomevalonate kinase (No1)	s_0019 + s_0434 + 4.08497e-05 prot_P24521  -> s_0018 + s_0394 			2.7.4.2	6.8 (Kcat*2)	50.4544							ERG8		
	r_0103No1	acetyl-CoA C-acetyltransferase (No1)	2 s_0373 + 1.54321e-07 prot_P41338  -> s_0367 + s_0529 			2.3.1.9	1800 (Kcat*2)	41.7282							ERG10		
	r_0104No1	acetyl-CoA C-acetyltransferase (No1)	2 s_0376 + 1.54321e-07 prot_P41338  -> s_0370 + s_0532 			2.3.1.9	1800 (Kcat*2)	41.7282							ERG10		
	r_0103_REVNo1	acetyl-CoA C-acetyltransferase (reversible) (No1)	s_0367 + s_0529 + 2.77778e-11 pprot_P41338  -> 2 s_0373 			2.3.1.9	10000000 (Kcat*2)	41.7282							ERG10		
	r_0104_REVNo1	acetyl-CoA C-acetyltransferase (reversible) (No1)	s_0370 + s_0532 + 2.77778e-11 pprot_P41338  -> 2 s_0376 			2.3.1.9	10000000 (Kcat*2)	41.7282							ERG10		
	r_0735No1	mevalonate kinase (atp) (No1)	s_0028 + s_0434 + 6.34194e-06 prot_P07277  -> s_0019 + s_0394 + s_0794 			2.7.1.36	43.8001 (Kcat*2)	48.459							ERG12		
	r_0736No1	mevalonate kinase (ctp) (No1)	s_0028 + s_0539 + 6.34194e-06 prot_P07277  -> s_0019 + s_0467 + s_0794 			2.7.1.36	43.8001 (Kcat*2)	48.459							ERG12		
	r_0737No1	mevalonate kinase (gtp) (No1)	s_0028 + s_0785 + 6.34194e-06 prot_P07277  -> s_0019 + s_0739 + s_0794 			2.7.1.36	43.8001 (Kcat*2)	48.459							ERG12		
	r_0738No1	mevalonate kinase (UTP) (No1)	s_0028 + s_1559 + 6.34194e-06 prot_P07277  -> s_0019 + s_0794 + s_1538 			2.7.1.36	43.8001 (Kcat*2)	48.459							ERG12		
	r_0559No1	hydroxymethylglutaryl CoA synthase (No1)	s_0367 + s_0373 + s_0803 + 0.000334672 prot_P54839  -> s_0218 + s_0529 + s_0794 			2.3.3.10	0.83 (Kcat*2)	55.0128							ERG13		
	r_0560No1	hydroxymethylglutaryl CoA synthase (No1)	s_0370 + s_0376 + s_0807 + 0.000334672 prot_P54839  -> s_0221 + s_0532 + s_0799 			2.3.3.10	0.83 (Kcat*2)	55.0128							ERG13		
	r_0739No1	mevalonate pyrophoshate decarboxylase (No1)	s_0018 + s_0434 + 2.83447e-05 prot_P32377  -> s_0394 + s_0456 + s_0943 + s_1322 			4.1.1.33	9.8 (Kcat*2)	44.1154							ERG19		
	r_0355No1	dimethylallyltranstransferase (No1)	s_0943 + s_1376 + 0.000126263 prot_P08524  -> s_0633 + s_0745 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_0462No1	geranyltranstransferase (No1)	s_0745 + s_0943 + 0.000126263 prot_P08524  -> s_0190 + s_0633 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_0667No1	isopentenyl-diphosphate D-isomerase (No1)	s_0943 + 4.64511e-09 prot_P15496  -> s_1376 			5.3.3.2	59800 (Kcat*2)	33.3511							IDI1		
	r_0667_REVNo1	isopentenyl-diphosphate D-isomerase (reversible) (No1)	s_1376 + 0.0022919 prot_P15496  -> s_0943 			5.3.3.2	0.1212 (Kcat*2)	33.3511							IDI1		
	r_1012No1	squalene synthase (No1)	2 s_0190 + s_0794 + s_1212 + 0.0003367 prot_P29704  -> 2 s_0633 + s_1207 + s_1447 			2.5.1.21	0.825 (Kcat/2)	51.7193							ERG9: downregulation		
	2	draw_prot_Q9AR04	63.933 prot_pool  -> prot_Q9AR04														
	3	amorphadiene transport	s_4261 -> s_4262														
	4	amorphadiene exchange	s_4262 ->														
																	
Ginsenosides (protopanaxadiol)	1	dammarenediol-II synthase	s_0037 + s_0803 + prot_Q08IT1 -> s_4263	DDS (Panax ginseng)	Q08IT1	4.2.1.125	NA	88.343			0.1	8.4 mg/gDCW		Min			Metabolic engineering of Saccharomyces cerevisiae for production of ginsenosides
	2	protopanaxadiol synthase	s_0794 + s_1275 + s_4263 + s_1212 + prot_H2DH16 -> s_4264 + s_0803 + s_1207	PPDS (Panax ginseng)	H2DH16	1.14.14.120	NA	55.356				0.00019 mmol/gDCW/h	0.00054 mmol/gDCW/h				
	3	draw_prot_Q08IT1	88.343 prot_pool  -> prot_Q08IT1														
	4	draw_prot_H2DH16	55.356 prot_pool  -> prot_H2DH16														
	5	protopanaxadiol transport	s_4264 -> s_4265														
	6	protopanaxadiol exchange	s_4265 ->														
	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558 + 3.0013e-06 prot_P12684  -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.5526 (Kcat*2)	115.691							HMG1		
	r_1010No1	squalene epoxidase (NAD) (No1)	s_0795 + s_1204 + s_1276 + s_1448 + 0.00182749 prot_P32476  -> s_0038 + s_0804 + s_1199 			1.14.14.17	0.152 (Kcat*2)	55.1254							ERG1		
	r_1011No1	squalene epoxidase (NADP) (No1)	s_0795 + s_1213 + s_1276 + s_1448 + 0.00182749 prot_P32476  -> s_0038 + s_0804 + s_1208 			1.14.14.17	0.152 (Kcat*2)	55.1254							ERG1		
	r_1012No1	squalene synthase (No1)	2 s_0190 + s_0794 + s_1212 + 8.41751e-05 prot_P29704  -> 2 s_0633 + s_1207 + s_1447 			2.5.1.21	3.3 (Kcat*2)	51.7193							ERG9		
	r_0355No1	dimethylallyltranstransferase (No1)	s_0943 + s_1376 + 0.000126263 prot_P08524  -> s_0633 + s_0745 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_0462No1	geranyltranstransferase (No1)	s_0745 + s_0943 + 0.000126263 prot_P08524  -> s_0190 + s_0633 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
																	
Monoterpenoids (geraniol)	1	geraniol synthase	s_0745 + s_0803 + 0.000277778 prot_J9PZR5 -> s_4266 + s_0633	GES (Catharanthus roseus)	J9PZR5	3.1.7.11	1	67.728		Ocimum basilicum	0.31		0.0177 g/g	YEP		GAL80	"Manipulation of GES and ERG20 for geraniol overproduction in
Saccharomyces cerevisiae"
	2	draw_prot_J9PZR5	67.728 prot_pool  -> prot_J9PZR5														
	3	protopanaxadiol transport	s_4266 -> s_4267														
	4	protopanaxadiol exchange	s_4267 ->														
	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558 + 3.0013e-06 prot_P12684  -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.5526 (Kcat*2)	115.691							HMG1		
	r_0667No1	isopentenyl-diphosphate D-isomerase (No1)	s_0943 + 4.64511e-09 prot_P15496  -> s_1376 			5.3.3.2	59800 (Kcat*2)	33.3511							IDI1		
	r_0667_REVNo1	isopentenyl-diphosphate D-isomerase (reversible) (No1)	s_1376 + 0.0022919 prot_P15496  -> s_0943 			5.3.3.2	0.1212 (Kcat*2)	33.3511							IDI1		
	r_0355No1	dimethylallyltranstransferase (No1)	s_0943 + s_1376 + 0.000126263 prot_P08524  -> s_0633 + s_0745 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_0462No1	geranyltranstransferase (No1)	s_0745 + s_0943 + 0.000126263 prot_P08524  -> s_0190 + s_0633 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
																	
Sesquiterpenoids (patchoulol)	1	patchoulol synthase	s_0190 + s_0803 + 0.645995 prot_Q49SP3 -> s_4268 + s_0633	PTS (Pogostemon cablin)	Q49SP3	4.2.3.70	0.00043	64.199			0.1		0.00057 g/g	YEP		GAL80	Significantly Enhanced Production of Patchoulol in Metabolically Engineered Saccharomyces cerevisiae
	2	draw_prot_Q49SP3	64.199 prot_pool  -> prot_Q49SP3														
	3	patchoulol transport	s_4268 -> s_4269														
	4	patchoulol exchange	s_4269 ->														
	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558 + 3.0013e-06 prot_P12684  -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.5526 (Kcat*2)	115.691							HMG1		
	r_0667No1	isopentenyl-diphosphate D-isomerase (No1)	s_0943 + 4.64511e-09 prot_P15496  -> s_1376 			5.3.3.2	59800 (Kcat*2)	33.3511							IDI1		
	r_0667_REVNo1	isopentenyl-diphosphate D-isomerase (reversible) (No1)	s_1376 + 0.0022919 prot_P15496  -> s_0943 			5.3.3.2	0.1212 (Kcat*2)	33.3511							IDI1		
	r_0355No1	dimethylallyltranstransferase (No1)	s_0943 + s_1376 + 0.000126263 prot_P08524  -> s_0633 + s_0745 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_0462No1	geranyltranstransferase (No1)	s_0745 + s_0943 + 0.000126263 prot_P08524  -> s_0190 + s_0633 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_1012No1	squalene synthase (No1)	2 s_0190 + s_0794 + s_1212 + 0.0003367 prot_P29704  -> 2 s_0633 + s_1207 + s_1447 			2.5.1.21	0.825 (Kcat/2)	51.7193							ERG9: downregulation		
																	
Triterpenoids (lupeol)	1	lupeol synthase	s_0037 + prot_A0A3B1EU92 -> s_4270	LUP (Taraxacum kok-saghyz)	A0A3B1EU92	5.4.99.41	NA	86.705			0.1		0.00041 g/g	Min		ROX1	"Upregulating the mevalonate pathway and repressing sterol synthesis
in Saccharomyces cerevisiae enhances the production of triterpenes"
	2	draw_prot_A0A3B1EU92	86.705 prot_pool  -> prot_A0A3B1EU92														
	3	lupeol transport	s_4270 -> s_4271														
	4	lupeol exchange	s_4271 ->														
	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558 + 3.0013e-06 prot_P12684  -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.5526 (Kcat*2)	115.691							HMG1		
	r_0559No1	hydroxymethylglutaryl CoA synthase (No1)	s_0367 + s_0373 + s_0803 + 0.000334672 prot_P54839  -> s_0218 + s_0529 + s_0794 			2.3.3.10	0.83 (Kcat*2)	55.0128							ERG13		
	r_0560No1	hydroxymethylglutaryl CoA synthase (No1)	s_0370 + s_0376 + s_0807 + 0.000334672 prot_P54839  -> s_0221 + s_0532 + s_0799 			2.3.3.10	0.83 (Kcat*2)	55.0128							ERG13		
	r_0698No1	lanosterol synthase (No1)	s_0037 + 0.000136286 prot_P38604  -> s_1059 			5.4.99.7	2.0382 (Kcat/2)	83.4594							ERG7: downregulation		
																	
_-Amyrin	1	_-amyrin synthase	s_0037 + 0.00036075 prot_Q9MB42 -> s_4272	bAS (Glycyrrhiza glabra)	Q9MB42	5.4.99.39	0.77	87.516		Euphorbia tirucalli	0.1	0.00465 g/g	0.05821 g/g	YEP			Refactoring b-Amyrin Synthesis in Saccharomyces cerevisiae
	2	squalene epoxidase (NAD) (No1)	s_0795 + s_1204 + s_1276 + s_1448 + prot_Q92206  -> s_0038 + s_0804 + s_1199 	CaERG1 (Candida albicans)	Q92206	1.14.14.17	NA	55.298									
	3	squalene epoxidase (NADP) (No1)	s_0795 + s_1213 + s_1276 + s_1448 + prot_Q92206  -> s_0038 + s_0804 + s_1208 	CaERG1 (Candida albicans)	Q92206	1.14.14.17	NA	55.298									
	4	pyrophosphate isomerase	s_0943 + prot_Q46822  -> s_1376 	EcIDI (E.coli)	Q46822	5.3.3.2	NA	20.508									
	5	pyrophosphate isomerase	s_1376 + prot_Q46822  -> s_0943 	EcIDI (E.coli)	Q46822	5.3.3.2	NA	20.508									
	r_1012No1	squalene synthase (No1)	2 s_0190 + s_0794 + s_1212 + 8.41751e-05 prot_P29704  -> 2 s_0633 + s_1207 + s_1447 			2.5.1.21	3.3 (Kcat*2)	51.7193							ERG9		
	r_0355No1	dimethylallyltranstransferase (No1)	s_0943 + s_1376 + 0.000126263 prot_P08524  -> s_0633 + s_0745 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_0462No1	geranyltranstransferase (No1)	s_0745 + s_0943 + 0.000126263 prot_P08524  -> s_0190 + s_0633 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	6	draw_prot_Q9MB42	87.516 prot_pool  -> prot_Q9MB42														
	7	draw_prot_Q92206	55.298 prot_pool  -> prot_Q92206														
	8	draw_prot_Q46822	20.508 prot_pool  -> prot_Q46822														
	9	_-Amyrin transport	s_4272 -> s_4273														
	10	_-Amyrin exchange	s_4273 ->														
																	
Carotenoids (astaxanthin) (based on ecbeta_Carotene model)	11	_-carotenoid ketolase	s_4239 + s_1275 + prot_Q39982 -> s_4276 + s_0803	bkt (Haematococcus pluvialis)	Q39982	1.14.99.63	NA	35.989			0.1	4.7 mg/gDCW		YEP		GAL80	"Highly efficient biosynthesis of astaxanthin in Saccharomyces
cerevisiae by integration and tuning of algal crtZ and bkt"
	12	_-carotenoid ketolase	s_4276 + s_1275 + prot_Q39982 -> s_4277 + s_0803	bkt (Haematococcus pluvialis)	Q39982	1.14.99.63	NA	35.989				0.0000937 mmol/gDCW/h	0.00032611 mmol/gDCW/h				
	13	_-carotenoid hydroxylase	s_0794 + s_1203 + s_4277 + s_1275 + prot_A0A0K0P8J8 -> s_0803 + s_4278 + s_1198	crtZ (Haematococcus pluvialis)	A0A0K0P8J8	1.14.15.24	NA	32.017									
	14	_-carotenoid hydroxylase	s_0794 + s_1203 + s_4278 + s_1275 + prot_A0A0K0P8J8 -> s_0803 + s_4279 + s_1198	crtZ (Haematococcus pluvialis)	A0A0K0P8J8	1.14.15.24	NA	32.017									
	15	draw_prot_Q39982	35.989 prot_pool  -> prot_Q39982														
	16	draw_prot_A0A0K0P8J8	32.017 prot_pool  -> prot_A0A0K0P8J8														
	17	astaxanthin transport	s_4279 -> s_4280														
	18	astaxanthin exchange	s_4280 ->														
																	
Farnesene + Santalene	1	farnesene synthase	s_0190 + 0.00453145 prot_Q84LB2 -> s_4281 + s_0633	AFS (Malus domestica)	Q84LB2	4.2.3.46	0.0613	66.183			Farnesene:0.043 + Santalene:0.05	Farnesene:0.015 g/gDCW + Santalene:0.0052 Cmol	Farnesene:0.1914 mmol/gDCW/h + Santalene:0.1435 Cmol	Min		"LPP1,DPP1,GDH1"	Production of farnesene and santalene by Saccharomyces cerevisiae using fed-batch cultivations with RQ-controlled feed
	2	draw_prot_Q84LB2	66.183 prot_pool  -> prot_Q84LB2														
	3	farnesene transport	s_4281 -> s_4282														
	4	farnesene exchange	s_4282 ->														
	5	santalene synthase	s_0190 + 0.0037037 prot_E5LLI1 -> s_4283 + s_0633	SAS (Clausena lansium)	E5LLI1	4.2.3.82	0.075	63.937									"Combined metabolic engineering of precursor
and co-factor supply to increase _-santalene
production by Saccharomyces cerevisiae"
	6	draw_prot_E5LLI1	63.937 prot_pool  -> prot_E5LLI1														
	7	farnesene transport	s_4283 -> s_4284														
	8	farnesene exchange	s_4284 ->														
	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558 + 3.0013e-06 prot_P12684  -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.5526 (Kcat*2)	115.691							HMG1		
	r_0355No1	dimethylallyltranstransferase (No1)	s_0943 + s_1376 + 0.000126263 prot_P08524  -> s_0633 + s_0745 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_0462No1	geranyltranstransferase (No1)	s_0745 + s_0943 + 0.000126263 prot_P08524  -> s_0190 + s_0633 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_1012No1	squalene synthase (No1)	2 s_0190 + s_0794 + s_1212 + 0.0003367 prot_P29704  -> 2 s_0633 + s_1207 + s_1447 			2.5.1.21	0.825 (Kcat/2)	51.7193							ERG9: downregulation		
	r_0470No1	glutamate dehydrogenase (NAD) (No1)	s_0803 + s_0991 + s_1198 + 5.78705e-06 prot_P33327  -> s_0180 + s_0419 + s_0794 + s_1203 			1.4.1.2	47.9999 (Kcat*2)	124.331							GDH2		
																	
lactase	1	production of lactase	2.01 s_0785 + 0.6516 s_0955 + 0.2643 s_0965 + 0.5013 s_0969 + 0.4921 s_0973 + 0.0547 s_0981 + 0.4375 s_0991 + 0.2552 s_0999 + 0.9114 s_1003 + 0.1276 s_1006 + 0.4466 s_1016 + 0.8567 s_1021 + 0.4192 s_1025 + 0.0638 s_1029 + 0.3645 s_1032 + 0.4921 s_1035 + 0.8567 s_1039 + 0.7109 s_1045 + 0.1823 s_1048 + 0.5377 s_1051 + 0.5559 s_1056  -> 2.01 s_0739 + 2.01 s_1322 + s_4285	lacA (Aspergillus niger)	A2QAN3	3.2.1.23	214.9	109.712			0.18		0.0414 mol/mol	YEP			"Development of Stable Flocculent Saccharomyces cerevisiae Strain
for Continuous Aspergillus niger _-Galactosidase Production"
	2	lactase transport	s_4285 -> s_4286														
	3	lactase exchange	s_4286 ->														
																	
L-ornithine 	1	Amino-acid acetyltransferase	s_0373 + s_0991 + 2.54728e-06 prot_P0A6C5 -> s_0529 + s_4173	argA (E. coli)	P0A6C5	2.3.1.1	109.0489167	49.195	133		0.1	0.067 g/g	0.124 g/g	Min		CAR2	"Modular pathway rewiring of Saccharomyces
cerevisiae enables high-level production of
L-ornithine"
	2	Acetylglutamate kinase	s_0434 + s_4173 + 0.00113638 prot_P0A6C8 -> s_0394 + s_4288	argB (E. coli)	P0A6C8	2.7.2.8	0.24444	27.16	0.54								
	3	N-acetyl-gamma-glutamyl-phosphate reductase	s_4288 + s_1212 + s_0794 + prot_Q59279 -> s_1207 + s_1322 + s_4289	argC (Corynebacterium glutamicum)	Q59279	1.2.1.38	NA	35.888									
	4	acetylornithine aminotransferase	s_4289 + s_0991 + prot_Q59282 -> s_4290 + s_0180	argD (Corynebacterium glutamicum)	Q59282	2.6.1.11	NA	41.206									
	5	glutamate N-acetyltransferase	s_4290 + s_0991 + 0.0279778 prot_Q59280 -> s_1266 + s_4173	argJ (Corynebacterium glutamicum)	Q59280	2.3.1.35	0.0099285	39.714	0.015								
	r_1237 (update)	ornithine transport	s_0794 + s_1268 + 0.00152961 prot_Q12375 -> s_0799 + s_1266 	ORT1	Q12375		0.1816 (Kcat*2)	31.52	0.1728						ORT1		
	r_1118 (update)	aspartate-glutamate transporter	s_0975 + s_0991 + 0.0210757 prot_Q12482 -> s_0973 + s_0993 	AGC1	Q12482Ê		0.01318 (Kcat*2) Identification and metabolic role of the mitochondrial aspartate-glutamate transporter in Saccharomyces cerevisiae	104.304							AGC1		
	r_0471No2	glutamate dehydrogenase (NADP) (No2)	pmet_r_0471 + 2.60433e-06 prot_P07262  -> s_0803 + s_0991 + s_1207 	GDH1			106.66 (Kcat*2)								GDH1		
	r_0816No1	ornithine carbamoyltransferase (No1)	s_0455 + s_1266 + 6.77507e-06 prot_P05150  -> s_0794 + s_0979 + s_1322 	ARG3			41 (Kcat/2)								ARG3: downregulation		
	6	draw_prot_P0A6C5	49.195 prot_pool  -> prot_P0A6C5														
	7	draw_prot_P0A6C8	27.16 prot_pool  -> prot_P0A6C8														
	8	draw_prot_Q59279	35.888 prot_pool  -> prot_Q59279														
	9	draw_prot_Q59282	41.206 prot_pool  -> prot_Q59282														
	10	draw_prot_Q59280	39.714 prot_pool  -> prot_Q59280														
	11	draw_prot_Q12375	31.52 prot_pool  -> prot_Q12375														
	12	draw_prot_Q12482Ê	104.304 prot_pool  -> prot_Q12482Ê														
																	
(S)-reticuline	1	tyrosine hydroxylase	s_1275 + 2 s_1051 + prot_I3PFJ5 -> 2 s_4291	CYP76AD1 (Beta vulgaris)	I3PFJ5	1.14.18.1	NA	56.212			0.1		0.000424 g/g	YEP			An enzyme-coupled biosensor enables (S)-reticuline production in yeast from glucose
	2	"L-3,4-dihydroxyphenylalanine decarboxylase"	s_4291 + s_0794 + 0.000154321 prot_Q88JU5 -> s_0456 + s_4292	DODC (Pseudomonas putida)	Q88JU5	4.1.1.28	1.8	51.444									
	3	4-hydroxyphenylpyruvate decarboxylase (update)	s_0204 + s_0794 + 2.52525e-05 prot_Q06408 -> s_0456 + s_4293	YDR380W (S.cerevisiae)	Q06408	4.1.1.80	11_Characterization of a thiamin diphosphate-dependent phenylpyruvate decarboxylase from Saccharomyces cerevisiae_	71.384									
	4	norcoclaurine synthase	s_4292 + s_4293 + 4.78927e-05 prot_B6E2Z2 -> s_0803 + s_4294	NCS (Papaver somniferum)	B6E2Z2	4.2.1.78	5.8	26.001		Corydalis chinensis							
	5	6-O-methyltransferase	s_4294 + s_1416 + 0.00347222 prot_Q6WUC1 -> s_1413 + s_4295	6OMT (Papaver somniferum)	Q6WUC1	2.1.1.128	0.08	38.511									
	6	coclaurine N-methyltransferase	s_4295 + s_1416 + 0.00347222 prot_Q7XB08 -> s_1413 + s_0794 + s_4296	CNMT (Papaver somniferum)	Q7XB08	2.1.1.140	0.000478707	41.032	0.0007	Corydalis vaginans							
	7	N-methylcoclaurine hydroxylase	s_4296 + s_0794 + s_1275 + s_1212 + prot_O64899 -> s_0803 + s_1207 + s_4297	CYP80B1 (Eschscholzia californica)	O64899Ê	1.14.14.102	NA	54.644									
	8	4_-O-methyltransferase	s_4297 + s_1416 + 0.003865 prot_Q7XB11 -> s_1413 + s_0794 + s_4298	4'OMT (Papaver somniferum)	Q7XB11	2.1.1.116	0.071869248	39.402	"0.10944 (Comparative macroarray analysis of morphine containing Papaver
somniferum and eight morphine free Papaver species identifies
an O-methyltransferase involved in benzylisoquinoline biosynthesis)"								
	9	draw_prot_I3PFJ5	56.212 prot_pool  -> prot_I3PFJ5														
	10	draw_prot_Q88JU5	51.444 prot_pool  -> prot_Q88JU5														
	11	draw_prot_Q06408	71.384 prot_pool  -> prot_Q06408														
	12	draw_prot_B6E2Z2	26.001 prot_pool  -> prot_B6E2Z2														
	13	draw_prot_Q6WUC1	38.511 prot_pool  -> prot_Q6WUC1														
	14	draw_prot_Q7XB08	41.032 prot_pool  -> prot_Q7XB08														
	15	draw_prot_O64899Ê	54.644 prot_pool  -> prot_O64899Ê														
	16	draw_prot_Q7XB11	39.402 prot_pool  -> prot_Q7XB11Ê														
	17	(S)-Reticuline transport	s_4298 -> s_4299														
	18	(S)-Reticuline exchange	s_4299 -> 														
																	
_-ionone	1	Bifunctional lycopene cyclase/phytoene synthase	2 s_0189 + 0.00332827 prot_Q7Z859 -> 2 s_0633 + s_4236	crtYB (Xanthophyllomyces dendrorhous)	Q7Z859	2.5.1.32	0.0834552	74.736	0.067		0.106	0.0001042 mmol/gDCW/h	0.00090664 mmol/gDCW/h	YEP		"DPP1, LPP1"	"Production of __ionone by combined
expression of carotenogenic and plant CCD1
genes in Saccharomyces cerevisiae"
	2	Phytoene desaturase	s_4236 + 0.925926 prot_Q7Z858 -> s_4237	crtI (Xanthophyllomyces dendrorhous)	Q7Z858	1.3.99.28	0.000314486	65.066	0.00029								
	3	Phytoene desaturase	s_4237 + s_1275 + 0.925926 prot_Q7Z858 -> 2 s_0803 + s_4238	crtI (Xanthophyllomyces dendrorhous)	Q7Z858	1.3.99.28	0.000314486	65.066	0.00029								
	4	Bifunctional lycopene cyclase/phytoene synthase	s_4238 + 0.000626472 prot_Q7Z859 -> s_4239	crtYB (Xanthophyllomyces dendrorhous)	Q7Z859	5.5.1.19	0.4434336	74.736	0.356								
	5	carotenoid cleavage dioxigenase	s_4239 + 2 s_1275 + prot_Q6E4P3 -> s_4300 + 2 s_4301	CCD1 (Petunia hybrida)	Q6E4P3	1.13.11	NA	61.311									
	r_0355No1	dimethylallyltranstransferase (No1)	s_0943 + s_1376 + 0.000126263 prot_P08524  -> s_0633 + s_0745 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_0462No1	geranyltranstransferase (No1)	s_0745 + s_0943 + 0.000126263 prot_P08524  -> s_0190 + s_0633 			2.5.1.1	2.2 (Kcat*2)	40.4829							ERG20		
	r_1012No1	squalene synthase (No1)	2 s_0190 + s_0794 + s_1212 + 0.0003367 prot_P29704  -> 2 s_0633 + s_1207 + s_1447 			2.5.1.21	0.825 (Kcat/2)	51.7193							ERG9: downregulation		
	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558 + 3.0013e-06 prot_P12684 -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.5526 (Kcat*2)	115.691							HMG1		
	r_0373No1	farnesyltranstransferase (No1)	s_0190 + s_0943 + 4.20875e-05 prot_Q12051 -> s_0189 + s_0633 				6.6 (Kcat*2)								BTS1		
	6	draw_prot_Q7Z859	74.736 prot_pool  -> prot_Q7Z859														
	7	draw_prot_Q7Z858	65.066 prot_pool  -> prot_Q7Z858														
	8	draw_prot_Q6E4P3	61.311 prot_pool  -> prot_Q6E4P3														
	9	_-ionone transport	s_4301 -> s_4302														
	10	_-ionone exchange	s_4302 -> 														
																	
Xanthone	1	benzoic acid exchange	 -> s_4304								0.1		0.0004407 g/g	YEP			"Engineering Yeast for Production of Benzophenones and Xanthones as Precursors of Polycyclic Polyprenylated Acylphloroglucinols

"
	2	benzoic acid transport	s_4304 -> s_4305														
	3	benzoate:CoA ligase	s_4305 + s_0529 + s_0434 + 3.47222e-05 prot_Q53005 -> s_0633 + s_0423 + s_4306	BZL (Rhodopseudomonas palustris)	Q53005	6.2.1.25	8	58.93									
	4	benzophenone synthase	3 s_1101 + s_4306 + 0.00505051 prot_A4ZYX5 -> 4 s_0529 + 3 s_0456 + s_4307	BPS (Hypericum perforatum)	A4ZYX5	2.3.1.220	0.055	43.039		Hypericum androsaemum							
	5	xanthone synthase	2 s_0794 + s_4307 + 2 s_1275 + 2 s_1212 + prot_A0A161I263 -> 2 s_0803 + 2 s_1207 + s_4308	TXS (Hypericum perforatum)	A0A161I263	NA	NA	57.849									
	6	xanthone transport	s_4308 -> s_4309														
	7	xanthone exchange	s_4309 -> 														
